card_id,attack,defense,description
C082,4800,4600,薬売りの伝統と路面電車の先進都市。ます寿司が名物
C083,4200,3600,銅器生産日本一。ドラえもんの藤子・F・不二雄の故郷
C084,5400,2600,雪の大谷は高さ20m。立山黒部アルペンルートの入口
C085,4400,2600,寒ブリの聖地。「ひみ」と読む。海越しの立山連峰は絶景
C086,7400,5400,加賀百万石の城下町。兼六園と21世紀美術館の新旧融合
C087,4800,2600,輪島塗と千枚田。朝市は日本三大朝市のひとつ
C088,4600,3000,山代・山中・片山津の加賀温泉郷。九谷焼の産地
C089,4000,2600,和倉温泉は海に湧く名湯。能登半島の中核都市
C090,4400,4200,幕末の名君・松平春嶽の城下町。ソースカツ丼発祥説あり
C091,4200,3200,「つるが」と読む。北陸新幹線の終着駅となった港町
C092,4800,2800,国産メガネフレームの96%を生産。メガネの聖地
C093,4600,2400,恐竜化石発掘量日本一。福井県立恐竜博物館は世界三大級
C094,4600,4000,武田信玄の城下町。ワインと宝石研磨の街
C095,5600,3000,富士山の麓の街。吉田のうどんは日本一硬いと評判
C096,5400,2600,富士五湖観光の中心。逆さ富士の絶景スポット
C097,5200,4600,善光寺の門前町。「牛に引かれて善光寺参り」
C098,6200,4400,国宝松本城の城下町。北アルプスの玄関口
C099,6800,3600,日本を代表する避暑地。ジョン・レノンも愛した別荘地
C100,4800,3000,御柱祭と諏訪湖。精密機械の「東洋のスイス」
C101,5200,2400,長野五輪の舞台。世界中のスキーヤーが集う雪の聖地
C102,4600,2400,温泉に入るサル「スノーモンキー」で世界的に有名
C103,4600,4400,織田信長が名付けた街。鵜飼は1300年の伝統
C104,6200,3400,飛騨の小京都。市の面積は日本一で東京都に匹敵
C105,6600,2200,合掌造り集落は世界遺産。冬のライトアップは幻想的
C106,5400,2600,日本三名泉のひとつ下呂温泉。「げろ」と読む
C107,4200,3400,「かかみがはら」と読む全国屈指の難読市。航空機の街
C108,5200,5400,徳川家康が晩年を過ごした駿府。ちびまる子ちゃんの清水も
C109,5200,5600,楽器とバイクの世界的企業を生んだ街。うなぎと餃子も
C110,6800,3400,昭和の新婚旅行の聖地から令和のリバイバルへ。海上花火も
C111,4800,2800,湧出量全国トップ級の温泉都市。伊豆の海の幸も豊富
C112,5000,3000,富士山本宮浅間大社の門前町。富士宮やきそばはB級王者
C113,4200,2400,黒船来航で開国の舞台となった港町。白浜の美しい海
C114,7800,8400,人口233万の中京の雄。モーニング文化と味噌カツの街
C115,5400,5800,製造品出荷額日本一。世界のTOYOTAの企業城下町
C116,4800,2800,現存最古の天守・国宝犬山城。明治村もある
C117,3800,2600,「がまごおり」と読む。みかんと竹島の景勝地
C118,4000,2600,中部国際空港セントレアの街。招き猫生産日本一
C119,4400,3800,日本一短い市名。ひらがな1文字・ローマ字だと「Tsu」
C120,7000,3600,お伊勢さんの門前町。江戸時代は「一生に一度はお伊勢参り」
C121,4800,2400,真珠養殖発祥の地。海女文化が今も息づく
C122,4600,2600,英虞湾のリアス海岸。伊勢エビとサミットの開催地
C123,5000,3200,松阪牛の本場。正しくは「まつさか」と濁らない
C124,4600,4200,琵琶湖の南岸の県都。一時は都が置かれた歴史も
C125,5400,3200,国宝彦根城とひこにゃん。井伊家35万石の城下町
C126,4200,2800,秀吉が最初に城を持った出世の街。黒壁スクエアが人気
C127,4400,2800,近江商人発祥の地。「三方よし」の精神はここから
C128,8800,7000,寺社2000超を擁する千年の都。世界の観光都市ランク常連
C129,6200,3400,平等院鳳凰堂は10円玉の顔。宇治抹茶は世界ブランド
C130,4000,2800,東郷平八郎ゆかりの軍港。肉じゃが発祥の地を名乗る
C131,5600,2400,日本三景「天橋立」。股のぞきで見る昇り龍は絶景
C132,8600,8600,食い倒れの街。たこ焼き店の密度は世界一とも
C133,5200,5400,仁徳天皇陵は世界最大級の墓。千利休と鉄砲の自治都市
C134,4400,4200,中小企業の町工場密度日本一。ラグビーの聖地・花園
C135,3800,3200,関西国際空港の対岸の街。ふるさと納税で全国区に
C136,4200,4000,「ひらかた」と読む難読市の代表格。ひらパーの街
C137,7800,7400,異国情緒あふれる港町。市内に日本最古の有馬温泉を持つ
C138,7200,5000,白鷺城と称される世界遺産・姫路城。天守は国宝
C139,5200,3800,歌劇団の街。手塚治虫が育った街でもある
C140,4600,2800,国生み神話の島の北部。明石海峡大橋で本州とつながる
C141,5000,2800,城崎温泉の外湯めぐり。コウノトリ野生復帰の街
C142,4000,4200,阪神工業地帯の中核。実は電話番号も06の「準大阪」
C143,7600,4800,東大寺・春日大社と1300頭の鹿。平城京の都
C144,5400,2200,「あすか」と読む。石舞台古墳と飛鳥時代の中心地
C145,4400,3000,「かしはら」と読む。日本最初の都城・藤原京の地
C146,5000,2200,一目千本と謳われる桜の聖地。西行も愛した山桜
C147,4600,4200,紀州徳川家55万石の城下町。和歌山ラーメンも人気
C148,6400,2400,空海が開いた天空の宗教都市。奥之院の杉並木は圧巻
C149,5400,2400,那智の滝と熊野古道。生マグロ水揚げ日本一級
C150,5600,2600,パンダと白い砂浜と名湯。日本三古湯の南紀白浜温泉
C151,5400,3600,鳥取砂丘の街。梨とカレー消費量日本一級
C152,4000,3200,「よなご」と読む。皆生温泉と大山の麓の商都
C153,5000,2600,ゲゲゲの鬼太郎の水木しげるロード。カニ水揚げ日本一
C154,5600,3800,国宝松江城と宍道湖の夕日。小泉八雲が愛した水の都
C155,6800,3600,縁結びの出雲大社。旧暦10月は全国の神々が集結
C156,4400,2000,山陰の小京都。森鴎外の故郷で鯉が泳ぐ掘割の街
C157,4400,2000,後鳥羽上皇配流の地。ユネスコ世界ジオパーク
C158,5200,5200,桃太郎の街。日本三名園・後楽園と岡山城
C159,6200,4400,白壁の美観地区。国産ジーンズ発祥の児島地区
C160,4600,2200,「たかはし」と読む。天空の山城・備中松山城
C161,7400,6800,平和記念都市。お好み焼きとカープの熱狂
C162,6000,3200,「はつかいち」と読む。世界遺産・厳島神社の宮島を擁する
C163,5600,3000,坂と猫と文学の街。しまなみ海道サイクリングの起点
C164,4800,3600,戦艦大和を建造した軍港。この世界の片隅にの舞台
C165,4400,3600,西の京。国宝瑠璃光寺五重塔とザビエル記念聖堂
C166,5600,3800,ふぐの本場。武蔵と小次郎の巌流島も市内
C167,5400,2600,吉田松陰と維新の志士たちを生んだ城下町
C168,4600,3000,5連アーチの錦帯橋は日本三名橋。シロヘビの街
C169,4600,3800,阿波おどり本場。8月の4日間で100万人が熱狂
C170,5400,2800,世界三大潮流の渦潮。鳴門金時と鯛の産地
C171,4200,2000,日本三大秘境・祖谷のかずら橋。四国最大の面積
C172,3800,1600,葉っぱビジネスとゼロ・ウェイスト宣言で世界が注目
C173,5000,4200,うどん県の玄関口。栗林公園は一歩一景の名園
C174,4200,3000,現存木造天守の丸亀城。石垣の高さは日本一
C175,4800,2200,「しょうどしま」と読む。オリーブ栽培発祥の地
C176,4800,2000,こんぴらさんの石段785段。江戸庶民の憧れの参詣地
C177,5000,1800,現代アートの聖地。世界中から旅行者が訪れる
C178,6600,4800,日本最古の道後温泉と現存12天守の松山城。俳句の都
C179,5000,3200,タオル生産日本一。焼豚玉子飯としまなみ海道
C180,4000,2600,現存天守の宇和島城。闘牛と鯛めしの南予の中心
C181,5400,4000,現存天守の高知城とよさこい祭り。ひろめ市場の熱気
C182,5200,2400,日本最後の清流・四万十川。沈下橋の原風景
C183,4200,1800,空海が悟りを開いた室戸岬。世界ジオパーク認定
C184,4000,1400,人口800人でゆず加工品年商30億円の奇跡の村
C185,3600,1800,「すくも」と読む難読市。だるま夕日の絶景
C186,8000,7800,屋台数日本一。アジアに最も近い成長都市
C187,5000,5400,官営八幡製鉄所から始まった工業都市。門司港レトロ
C188,6000,3000,学問の神様・菅原道真を祀る太宰府天満宮。梅ヶ枝餅も名物
C189,4600,2600,どんこ舟の川下りとうなぎのせいろ蒸し。水郷の城下町
C190,4800,2800,福岡市民の憧れの移住先。海カフェと牡蠣小屋
C191,4200,3600,秋の空を彩るバルーンフェスタはアジア最大級
C192,4600,2800,唐津くんちの曳山と虹の松原。唐津焼の産地
C193,4800,2000,日本磁器発祥の地。有田焼400年の伝統
C194,4600,2200,「うれしの」と読む。日本三大美肌の湯と嬉野茶
C195,7000,5000,坂とちゃんぽんと世界新三大夜景。出島の異国文化
C196,5000,3800,佐世保バーガーとハウステンボス。九十九島の絶景
C197,4600,2200,日本初の国立公園。地獄めぐりの湯けむり
C198,4600,2000,国境の島。ゲームで世界的に有名になった対馬
C199,4600,2000,潜伏キリシタンの教会群。日本屈指の美しい海
C200,6800,6000,加藤清正が築いた難攻不落の熊本城。馬刺しと地下水の都
C201,6400,2800,世界最大級のカルデラ。大観峰からの雲海は絶景
C202,4600,2600,天草四郎の島。イルカウォッチングと崎津集落
C203,4200,2200,球磨川下りと球磨焼酎。相良700年の城下町
C204,3800,2200,千人灯籠踊りの山鹿灯籠まつり。豊前街道の宿場町
C205,4600,4200,大友宗麟の南蛮文化の街。とり天発祥の地
C206,7200,3600,源泉数・湧出量日本一。街中から湯けむりが立ち上る
C207,6400,2600,由布院温泉は女性人気No.1級。金鱗湖の朝霧
C208,4200,2600,天領として栄えた九州の小京都。日田焼きそばと下駄
C209,4000,2800,福澤諭吉の故郷。からあげ専門店発祥の地
C210,4800,4000,フェニックス並木と青島。プロ野球キャンプの聖地
C211,6200,2200,天孫降臨の神話の里。高千穂峡の真名井の滝
C212,4400,2400,サンメッセ日南のモアイ像。飫肥は九州の小京都
C213,3800,1800,霧島連山の麓のひらがな市。田の神さぁが見守る
C214,4200,3200,「みやこのじょう」と読む。肉と焼酎のふるさと納税王者
C215,6800,5600,桜島を望む南の雄都。西郷どんと白くまの街
C216,5400,2600,「いぶすき」と読む。世界的に珍しい天然砂むし温泉
C217,6400,2200,樹齢数千年の縄文杉。月に35日雨が降ると言われる森
C218,5200,2400,世界自然遺産の島。アマミノクロウサギと大島紬
C219,4800,3000,坂本龍馬が新婚旅行で訪れた地。天孫降臨の高千穂峰
C220,3800,2000,かつお節生産日本一。カツオの一本釣り基地
C221,7000,5000,琉球王国の都・首里城。国際通りは奇跡の1マイル
C222,5800,2600,八重山諸島の玄関口。川平湾の海の色は世界レベル
C223,5800,2600,「宮古ブルー」の海と伊良部大橋。雪塩とマンゴー
C224,4400,2800,「サンゴの島」を意味する古語が市名。勝連城跡は世界遺産
C225,3800,2000,「はえばる」と読む。沖縄で唯一海に面していない町
C226,4800,2000,万座毛と青の洞窟。沖縄リゾートホテルの聖地
C227,5000,1600,日本最南端の町。水牛車と星砂の浜の原風景
S01,9900,8000,標高3776mの日本一の霊峰。山梨と静岡にまたがる日本の象徴
S02,8400,3600,金箔に輝く舎利殿。正式名称は鹿苑寺
S03,8200,4000,「清水の舞台から飛び降りる」の語源。釘を使わない懸造り
S04,8000,3800,千本鳥居の朱のトンネル。全国3万社の稲荷神社の総本宮
S05,8000,4200,奈良の大仏は高さ15m。大仏殿は世界最大級の木造建築
S06,8400,3600,海に浮かぶ朱の大鳥居。平清盛が篤く信仰した
S07,8200,6000,白鷺城。築城以来一度も戦火に遭わなかった奇跡の名城
S08,7400,5200,秀吉が築いた天下の名城。石垣の巨石は畳36枚分
S09,7200,3800,グリコサインとかに看板。食い倒れ文化の象徴
S10,7600,4400,高さ333m。1958年完成以来、東京のシンボル
S11,8000,5000,高さ634m(ムサシ)。自立式電波塔として世界一
S12,7800,4200,雷門の大提灯は高さ3.9m。都内最古の寺
S13,7400,3600,世界で最も有名な交差点。訪日客の定番スポット
S14,8200,4600,日本人の心のふるさと。20年に一度の式年遷宮
S15,7800,4200,縁結びの神様。大注連縄は長さ13.6m
S16,7600,4400,家康を祀る豪華絢爛の社殿。眠り猫と三猿
S17,7400,3000,合掌造りの原風景。屋根の葺き替えは村総出の「結」
S18,6800,3200,日本三名園の筆頭格。雪吊りは冬の風物詩
S19,6600,3400,新世界のシンボル。ビリケンさんの足裏を撫でると幸運
S20,6200,3000,日本三大がっかり名所と言われつつ愛され続ける
S21,7400,3800,琉球王国の王城。朱塗りの正殿は復元が進む
S22,7600,5000,今も噴煙を上げる活火山。大正噴火で大隅半島と陸続きに
S23,6000,3000,明治日本の近代化を支えた製糸工場。世界遺産
S24,6600,2800,正式名は端島。海上要塞のような炭鉱都市の廃墟
S25,7000,3200,観光できる砂丘として日本最大級。らくだにも乗れる
S26,7200,6000,日本最大の湖。400万年の歴史を持つ古代湖
S27,7000,4800,金鯱が輝く尾張徳川家の居城。「尾張名古屋は城でもつ」
C228,7700,5100,室蘭市（むろらんし）は、北海道西南部にある市。 胆振総合振興局の振興局所在地。
C229,8000,5300,世界三大夕日と称される港町。釧路湿原の玄関口
C230,7900,4700,豚丼と六花亭の街。ばんえい競馬は世界唯一
C231,7900,5200,北見市（きたみし）は、北海道北東部に位置する市。オホーツク総合振興局の中核都市。
C232,7000,4100,岩見沢市（いわみざわし）は、北海道中西部の市。空知総合振興局の振興局所在地。
C233,6600,4100,流氷と網走監獄。オホーツクの海の幸が集まる
C234,6700,4300,留萌市（るもいし）は、北海道北西部の市。留萌振興局の振興局所在地。
C235,7800,4600,ホッキ貝水揚げ日本一の工業港湾都市
C236,7800,5000,日本最北端の街。宗谷岬から樺太が見える日も
C237,6000,3500,美唄市（びばいし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C238,6100,3800,芦別市（あしべつし）は、北海道中西部に位置し、空知総合振興局に属する市。
C239,1800,800,江別市（えべつし）は、北海道の石狩振興局に属する市。
C240,5300,3100,赤平市（あかびらし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C241,6300,3900,紋別市（もんべつし）は、北海道北東部に位置し、オホーツク総合振興局に属する市。
C242,5400,3100,士別市（しべつし）は、北海道上川地方北部にある市。
C243,6700,4400,名寄市（なよろし）は、北海道中北部に位置し、上川総合振興局に属する市である。
C244,1800,1000,三笠市（みかさし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C245,7600,4700,本土最東端の街。日本で一番早く朝日が昇る
C246,1800,1300,新千歳空港の街。支笏湖の水質は日本トップ級
C247,7100,4100,滝川市（たきかわし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C248,4700,3200,砂川市（すながわし）は、北海道の中西部に位置し、空知総合振興局管内に属する市。
C249,7500,5000,歌志内市（うたしないし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C250,5000,3200,深川市（ふかがわし）は、北海道の中西部に位置し、空知総合振興局に属する市。
C251,1800,1100,恵庭市（えにわし）は、北海道西部に位置し、石狩振興局に属する市。
C252,6900,4000,伊達市（だてし）は、北海道の西南部に位置し、胆振総合振興局の西いぶり地域に属する市。
C253,7700,4700,北広島市（きたひろしまし）は、日本の北海道の石狩振興局に属する市。
C254,6100,4000,石狩市（いしかりし）は、北海道西部に位置し、石狩振興局管内に属する市。
C255,5700,3400,北斗市（ほくとし）は、北海道南部に位置し、渡島総合振興局に属する市。
C256,4400,2500,当別町（とうべつちょう）は、北海道石狩振興局管内北東部にある町。
C257,3100,1600,新篠津村（しんしのつむら）は、北海道石狩振興局管内北部にある村。
C258,5200,2600,松前町（まつまえちょう）は、北海道道南地方の渡島半島南西部に位置する渡島総合振興局管内にある町。
C259,6500,3300,福島町（ふくしまちょう）は、北海道（道南地方）の渡島総合振興局に位置する町。
C260,3800,1900,知内町（しりうちちょう）は、北海道南部（道南地方）の渡島総合振興局管内に属する町。
C261,4300,2200,木古内町（きこないちょう）は、北海道渡島総合振興局中部にある町。
C262,4700,2200,七飯町（ななえちょう）は、北海道渡島総合振興局にある町。
C263,4100,2000,鹿部町（しかべちょう）は、北海道渡島総合振興局中部にある町。茅部郡に属する。
C264,4300,2200,森町（もりまち）は、北海道渡島総合振興局管内中部にある町。茅部郡に属する。
C265,5100,2400,八雲町（やくもちょう）は、北海道渡島総合振興局にある町。北海道の郷土玩具「木彫りの熊」の発祥地である。
C266,4700,2200,江差町（えさしちょう）は、北海道檜山振興局中部にある日本海に面する町。
C267,1800,1100,上ノ国町（かみのくにちょう）は、北海道南部、檜山振興局管内最南端にある町。
C268,3000,1700,厚沢部町（あっさぶちょう）は、北海道南部、檜山振興局南東部にある檜山郡に属する町。
C269,2800,1100,乙部町（おとべちょう）は、北海道南部、檜山振興局中部にある日本海に面した町。
C270,2800,1600,奥尻町（おくしりちょう）は、北海道檜山振興局管内の奥尻郡にある町。
C271,3100,1400,今金町（いまかねちょう）は、北海道南部、檜山振興局北部にある町。
C272,4400,2200,せたな町（せたなちょう）は、北海道檜山振興局にある町。久遠郡に属する。
C273,1800,800,島牧村（しままきむら）は、北海道後志総合振興局管内の南部に位置する村。
C274,4400,2100,寿都町（すっつちょう）は、北海道後志総合振興局管内にある町。寿都郡に属す。
C275,3000,1500,黒松内町（くろまつないちょう）は、北海道後志総合振興局管内の南端にある町。
C276,3100,1300,蘭越町（らんこしちょう）は、北海道磯谷郡にある町。
C277,7200,3300,ニセコ町（ニセコちょう）は、北海道虻田郡にある町。ニセコ地域の一部を形成する。
C278,3600,1600,真狩村（まっかりむら）は、北海道後志総合振興局管内にある村。虻田郡に属する。
C279,2900,900,留寿都村（るすつむら）は、北海道後志総合振興局管内にある、虻田郡に属する村。
C280,2600,1000,喜茂別町（きもべつちょう）は、北海道後志総合振興局管内にある町。
C281,2700,1500,京極町（きょうごくちょう）は北海道後志総合振興局管内、羊蹄山（蝦夷富士）の麓にある町。
C282,2700,1100,共和町（きょうわちょう）は、北海道後志総合振興局管内の西部、岩内郡にある町。
C283,5500,2800,岩内町（いわないちょう）は、北海道後志総合振興局管内にある町。
C284,3300,1200,泊村（とまりむら）は、北海道後志総合振興局管内の古宇郡に属する村。
C285,1800,1100,神恵内村（かもえないむら）は、北海道後志総合振興局管内、古宇郡にある村。
C286,4600,2500,積丹町（しゃこたんちょう）は、北海道後志総合振興局管内にある日本海に面する町。
C287,2600,1400,古平町（ふるびらちょう）は、北海道西南部、積丹半島の北東側に位置する町。
C288,2400,1000,仁木町（にきちょう）は、北海道の後志総合振興局の北部に位置する町。
C289,5000,2800,余市町（よいちちょう）は、北海道後志総合振興局にある町。
C290,1800,800,赤井川村（あかいがわむら）は、北海道後志総合振興局管内、余市郡にある村。
C291,3700,2000,南幌町（なんぽろちょう）は、北海道空知総合振興局管内南部にある町。
C292,1800,1000,奈井江町（ないえちょう）は、北海道の空知地方中部に位置する町。
C293,2700,1100,上砂川町（かみすながわちょう）は、北海道の空知郡に属する町。上砂川炭田があり、かつて産炭地として他の空知炭田群とともに日本の資本主義経済を支えた。
C294,3000,1400,由仁町（ゆにちょう）は、北海道空知総合振興局管内、夕張郡にある町。
C295,3500,1600,長沼町（ながぬまちょう）は、北海道空知総合振興局管内南部にある町。
