id,name,reading,type,field,rarity
T174,オートマトン,オートマトン,term,基礎理論・アルゴリズム,R
T175,グラフ理論,グラフリロン,term,基礎理論・アルゴリズム,R
T176,16進数,ジュウロクシンスウ,term,基礎理論・アルゴリズム,R
T177,線形探索,センケイタンサク,tech,基礎理論・アルゴリズム,N
T178,選択ソート,センタクソート,tech,基礎理論・アルゴリズム,N
T179,挿入ソート,ソウニュウソート,tech,基礎理論・アルゴリズム,N
T180,マージソート,マージソート,tech,基礎理論・アルゴリズム,N
T181,配列,ハイレツ,term,基礎理論・アルゴリズム,N
T182,ヒープ,ヒープ,term,基礎理論・アルゴリズム,N
T183,幅優先探索,ハバユウセンタンサク,tech,基礎理論・アルゴリズム,N
T184,深さ優先探索,フカサユウセンタンサク,tech,基礎理論・アルゴリズム,N
T185,ビット,ビット,term,基礎理論・アルゴリズム,N
T186,補数,ホスウ,term,基礎理論・アルゴリズム,N
T187,フローチャート,フローチャート,tech,基礎理論・アルゴリズム,N
T188,逆ポーランド記法,ギャクポーランドキホウ,term,基礎理論・アルゴリズム,N
T189,ユークリッドの互除法,ユークリッドノゴジョホウ,tech,基礎理論・アルゴリズム,N
T190,モンテカルロ法,モンテカルロホウ,tech,基礎理論・アルゴリズム,N
T191,Linux,リナックス,tool,OS・ハードウェア,UR
T192,UNIX,ユニックス,tool,OS・ハードウェア,SSR
T193,Windows,ウィンドウズ,tool,OS・ハードウェア,SSR
T194,CPU,シーピーユー,term,OS・ハードウェア,SSR
T195,macOS,マックオーエス,tool,OS・ハードウェア,SR
T196,Android,アンドロイド,tool,OS・ハードウェア,SR
T197,iOS,アイオーエス,tool,OS・ハードウェア,SR
T198,カーネル,カーネル,term,OS・ハードウェア,SR
T199,GPU,ジーピーユー,term,OS・ハードウェア,SR
T200,シェル,シェル,tool,OS・ハードウェア,SR
T201,プロセス,プロセス,term,OS・ハードウェア,R
T202,スレッド,スレッド,term,OS・ハードウェア,R
T203,仮想メモリ,カソウメモリ,tech,OS・ハードウェア,R
T204,キャッシュメモリ,キャッシュメモリ,term,OS・ハードウェア,R
T205,SSD,エスエスディー,term,OS・ハードウェア,R
T206,ファイルシステム,ファイルシステム,tech,OS・ハードウェア,R
T207,BIOS/UEFI,バイオスユーイーエフアイ,tool,OS・ハードウェア,R
T208,排他制御,ハイタセイギョ,tech,OS・ハードウェア,R
T209,割り込み,ワリコミ,tech,OS・ハードウェア,R
T210,レジスタ,レジスタ,term,OS・ハードウェア,N
T211,RAM,ラム,term,OS・ハードウェア,N
T212,HDD,エイチディーディー,term,OS・ハードウェア,N
T213,マザーボード,マザーボード,term,OS・ハードウェア,N
T214,デバイスドライバ,デバイスドライバ,term,OS・ハードウェア,N
T215,マルチタスク,マルチタスク,tech,OS・ハードウェア,N
T216,ページング,ページング,tech,OS・ハードウェア,N
T217,セマフォ,セマフォ,tech,OS・ハードウェア,N
T218,スプーリング,スプーリング,tech,OS・ハードウェア,N
T219,ブートローダ,ブートローダ,tool,OS・ハードウェア,N
T220,デーモン,デーモン,term,OS・ハードウェア,N
T221,cron,クーロン,tool,OS・ハードウェア,N
T222,USB,ユーエスビー,term,OS・ハードウェア,N
T223,Docker,ドッカー,tool,クラウド・インフラ,SSR
T224,Kubernetes,クバネティス,tool,クラウド・インフラ,SSR
T225,AWS,エーダブリューエス,tool,クラウド・インフラ,SSR
T226,クラウドコンピューティング,クラウドコンピューティング,term,クラウド・インフラ,SR
T227,サーバーレス,サーバーレス,tech,クラウド・インフラ,SR
T228,マイクロサービス,マイクロサービス,tech,クラウド・インフラ,SR
T229,CDN,シーディーエヌ,tech,クラウド・インフラ,SR
T230,ロードバランサー,ロードバランサー,tech,クラウド・インフラ,SR
T231,IaaS,イアース,term,クラウド・インフラ,R
T232,PaaS,パース,term,クラウド・インフラ,R
T233,SaaS,サース,term,クラウド・インフラ,R
T234,IaC,アイエーシー,tech,クラウド・インフラ,R
T235,オンプレミス,オンプレミス,term,クラウド・インフラ,R
T236,スケーラビリティ,スケーラビリティ,term,クラウド・インフラ,R
T237,冗長化,ジョウチョウカ,tech,クラウド・インフラ,R
T238,オートスケーリング,オートスケーリング,tech,クラウド・インフラ,R
T239,Terraform,テラフォーム,tool,クラウド・インフラ,R
T240,仮想マシン,カソウマシン,tech,クラウド・インフラ,N
T241,ハイパーバイザー,ハイパーバイザー,tech,クラウド・インフラ,N
T242,VPS,ブイピーエス,term,クラウド・インフラ,N
T243,リージョン,リージョン,term,クラウド・インフラ,N
T244,アベイラビリティゾーン,アベイラビリティゾーン,term,クラウド・インフラ,N
T245,フェイルオーバー,フェイルオーバー,tech,クラウド・インフラ,N
T246,プロビジョニング,プロビジョニング,tech,クラウド・インフラ,N
T247,エッジコンピューティング,エッジコンピューティング,tech,クラウド・インフラ,N
T248,ハイブリッドクラウド,ハイブリッドクラウド,term,クラウド・インフラ,N
T249,マルチクラウド,マルチクラウド,term,クラウド・インフラ,N
T250,Nginx,エンジンエックス,tool,クラウド・インフラ,N
T251,オブジェクトストレージ,オブジェクトストレージ,tech,クラウド・インフラ,N
T252,SLA,エスエルエー,term,クラウド・インフラ,N
T253,ディープラーニング,ディープラーニング,tech,AI・データサイエンス,UR
T254,機械学習,キカイガクシュウ,tech,AI・データサイエンス,SSR
T255,トランスフォーマー,トランスフォーマー,tech,AI・データサイエンス,SSR
T256,大規模言語モデル,ダイキボゲンゴモデル,tech,AI・データサイエンス,SSR
T257,生成AI,セイセイエーアイ,tech,AI・データサイエンス,SR
T258,ニューラルネットワーク,ニューラルネットワーク,tech,AI・データサイエンス,SR
T259,強化学習,キョウカガクシュウ,tech,AI・データサイエンス,SR
T260,自然言語処理,シゼンゲンゴショリ,tech,AI・データサイエンス,SR
T261,過学習,カガクシュウ,term,AI・データサイエンス,SR
T262,教師あり学習,キョウシアリガクシュウ,tech,AI・データサイエンス,R
T263,教師なし学習,キョウシナシガクシュウ,tech,AI・データサイエンス,R
T264,画像認識,ガゾウニンシキ,tech,AI・データサイエンス,R
T265,プロンプトエンジニアリング,プロンプトエンジニアリング,tech,AI・データサイエンス,R
T266,データマイニング,データマイニング,tech,AI・データサイエンス,R
T267,回帰分析,カイキブンセキ,tech,AI・データサイエンス,R
T268,ハルシネーション,ハルシネーション,term,AI・データサイエンス,R
T269,統計学,トウケイガク,term,AI・データサイエンス,R
T270,勾配降下法,コウバイコウカホウ,tech,AI・データサイエンス,R
T271,クラスタリング,クラスタリング,tech,AI・データサイエンス,N
T272,決定木,ケッテイギ,tech,AI・データサイエンス,N
T273,学習データ,ガクシュウデータ,term,AI・データサイエンス,N
T274,特徴量,トクチョウリョウ,term,AI・データサイエンス,N
T275,アノテーション,アノテーション,tech,AI・データサイエンス,N
T276,損失関数,ソンシツカンスウ,term,AI・データサイエンス,N
T277,パラメータ,パラメータ,term,AI・データサイエンス,N
T278,バイアス,バイアス,term,AI・データサイエンス,N
T279,データクレンジング,データクレンジング,tech,AI・データサイエンス,N
T280,相関係数,ソウカンケイスウ,term,AI・データサイエンス,N
T281,標準偏差,ヒョウジュンヘンサ,term,AI・データサイエンス,N
T282,転移学習,テンイガクシュウ,tech,AI・データサイエンス,N
T283,Git,ギット,tool,開発プロセス・ツール,UR
T284,GitHub,ギットハブ,tool,開発プロセス・ツール,SSR
T285,オープンソース,オープンソース,term,開発プロセス・ツール,SSR
T286,アジャイル開発,アジャイルカイハツ,tech,開発プロセス・ツール,SSR
T287,CI/CD,シーアイシーディー,tech,開発プロセス・ツール,SR
T288,DevOps,デブオプス,tech,開発プロセス・ツール,SR
T289,スクラム,スクラム,tech,開発プロセス・ツール,SR
T290,テスト駆動開発,テストクドウカイハツ,tech,開発プロセス・ツール,SR
T291,リファクタリング,リファクタリング,tech,開発プロセス・ツール,SR
T292,ウォーターフォール,ウォーターフォール,tech,開発プロセス・ツール,R
T293,ユニットテスト,ユニットテスト,tech,開発プロセス・ツール,R
T294,コードレビュー,コードレビュー,tech,開発プロセス・ツール,R
T295,デバッグ,デバッグ,tech,開発プロセス・ツール,R
T296,IDE,アイディーイー,tool,開発プロセス・ツール,R
T297,ペアプログラミング,ペアプログラミング,tech,開発プロセス・ツール,R
T298,技術的負債,ギジュツテキフサイ,term,開発プロセス・ツール,R
T299,バージョン管理,バージョンカンリ,tech,開発プロセス・ツール,R
T300,プルリクエスト,プルリクエスト,term,開発プロセス・ツール,R
T301,モブプログラミング,モブプログラミング,tech,開発プロセス・ツール,N
T302,命名規則,メイメイキソク,term,開発プロセス・ツール,N
T303,コーディング規約,コーディングキヤク,term,開発プロセス・ツール,N
T304,マージコンフリクト,マージコンフリクト,term,開発プロセス・ツール,N
T305,リポジトリ,リポジトリ,term,開発プロセス・ツール,N
T306,コミット,コミット,term,開発プロセス・ツール,N
T307,ブランチ,ブランチ,term,開発プロセス・ツール,N
T308,イシュー管理,イシューカンリ,tech,開発プロセス・ツール,N
T309,静的解析,セイテキカイセキ,tech,開発プロセス・ツール,N
T310,ドキュメント,ドキュメント,term,開発プロセス・ツール,N
T311,レトロスペクティブ,レトロスペクティブ,tech,開発プロセス・ツール,N
T312,カンバン,カンバン,tech,開発プロセス・ツール,N
T313,IPv6,アイピーブイシックス,tech,ネットワーク,SSR
T314,TLS,ティーエルエス,tech,ネットワーク,SR
T315,SSH,エスエスエイチ,tool,ネットワーク,SR
T316,ARP,アープ,tech,ネットワーク,R
T317,ICMP,アイシーエムピー,tech,ネットワーク,R
T318,3ウェイハンドシェイク,スリーウェイハンドシェイク,term,ネットワーク,R
T319,QoS,キューオーエス,tech,ネットワーク,R
T320,テザリング,テザリング,term,ネットワーク,N
T321,ブロードキャスト,ブロードキャスト,term,ネットワーク,N
T322,光ファイバー,ヒカリファイバー,tech,ネットワーク,N
T323,LTE,エルティーイー,tech,ネットワーク,N
T324,ネットワークトポロジー,ネットワークトポロジー,term,ネットワーク,N
T325,telnet,テルネット,tool,ネットワーク,N
T326,ゼロデイ攻撃,ゼロデイコウゲキ,term,セキュリティ,SSR
T327,ハニーポット,ハニーポット,tech,セキュリティ,SR
T328,量子暗号,リョウシアンゴウ,tech,セキュリティ,SR
T329,DMZ,ディーエムゼット,term,セキュリティ,R
T330,ワンタイムパスワード,ワンタイムパスワード,tech,セキュリティ,R
T331,生体認証,セイタイニンショウ,tech,セキュリティ,R
T332,エクスプロイト,エクスプロイト,term,セキュリティ,R
T333,脆弱性,ゼイジャクセイ,term,セキュリティ,N
T334,CSIRT,シーサート,term,セキュリティ,N
T335,インシデントレスポンス,インシデントレスポンス,term,セキュリティ,N
T336,電子透かし,デンシスカシ,tech,セキュリティ,N
T337,検疫ネットワーク,ケンエキネットワーク,tech,セキュリティ,N
T338,セキュリティパッチ,セキュリティパッチ,term,セキュリティ,N
T339,ALGOL,アルゴル,lang,プログラミング言語,SSR
T340,Ada,エイダ,lang,プログラミング言語,SR
T341,MATLAB,マトラブ,lang,プログラミング言語,SR
T342,F#,エフシャープ,lang,プログラミング言語,R
T343,Delphi,デルファイ,lang,プログラミング言語,R
T344,Solidity,ソリディティ,lang,プログラミング言語,R
T345,なでしこ,ナデシコ,lang,プログラミング言語,R
T346,Visual Basic,ビジュアルベーシック,lang,プログラミング言語,N
T347,Groovy,グルービー,lang,プログラミング言語,N
T348,Nim,ニム,lang,プログラミング言語,N
T349,D言語,ディーゲンゴ,lang,プログラミング言語,N
T350,VBA,ブイビーエー,lang,プログラミング言語,N
T351,CoffeeScript,コーヒースクリプト,lang,プログラミング言語,N
T352,React,リアクト,tech,Web技術,SSR
T353,Vue.js,ビュージェイエス,tech,Web技術,SR
T354,Node.js,ノードジェイエス,tech,Web技術,SR
T355,YAML,ヤムル,term,Web技術,R
T356,Markdown,マークダウン,term,Web技術,R
T357,QRコード,キューアールコード,tech,Web技術,R
T358,絵文字,エモジ,term,Web技術,R
T359,CSV,シーエスブイ,term,Web技術,N
T360,RSS,アールエスエス,term,Web技術,N
T361,WebP,ウェッピー,term,Web技術,N
T362,Bootstrap,ブートストラップ,tool,Web技術,N
T363,viewport,ビューポート,term,Web技術,N
T364,メタタグ,メタタグ,term,Web技術,N
T365,ベクトルデータベース,ベクトルデータベース,tech,データベース,SSR
T366,シャーディング,シャーディング,tech,データベース,SR
T367,Elasticsearch,エラスティックサーチ,tool,データベース,SR
T368,DynamoDB,ダイナモディービー,tool,データベース,R
T369,Cassandra,カサンドラ,tool,データベース,R
T370,インメモリデータベース,インメモリデータベース,tech,データベース,R
T371,マテリアライズドビュー,マテリアライズドビュー,term,データベース,R
T372,パーティショニング,パーティショニング,tech,データベース,N
T373,コネクションプール,コネクションプール,tech,データベース,N
T374,GROUP BY,グループバイ,term,データベース,N
T375,集計関数,シュウケイカンスウ,term,データベース,N
T376,B木インデックス,ビーキインデックス,term,データベース,N
T377,カラム指向データベース,カラムシコウデータベース,tech,データベース,N
T378,量子コンピュータ,リョウシコンピュータ,tech,基礎理論・アルゴリズム,SSR
T379,正規表現,セイキヒョウゲン,tech,基礎理論・アルゴリズム,SR
T380,ダイクストラ法,ダイクストラホウ,term,基礎理論・アルゴリズム,SR
T381,ヒープソート,ヒープソート,term,基礎理論・アルゴリズム,R
T382,UTF-8,ユーティーエフエイト,tech,基礎理論・アルゴリズム,R
T383,停止性問題,テイシセイモンダイ,term,基礎理論・アルゴリズム,R
T384,A*アルゴリズム,エースターアルゴリズム,term,基礎理論・アルゴリズム,R
T385,シェルソート,シェルソート,term,基礎理論・アルゴリズム,N
T386,Unicode,ユニコード,tech,基礎理論・アルゴリズム,N
T387,シフトJIS,シフトジス,tech,基礎理論・アルゴリズム,N
T388,チューリング完全,チューリングカンゼン,term,基礎理論・アルゴリズム,N
T389,ナップサック問題,ナップサックモンダイ,term,基礎理論・アルゴリズム,N
T390,ハノイの塔,ハノイノトウ,term,基礎理論・アルゴリズム,N
T391,半導体,ハンドウタイ,tech,OS・ハードウェア,SSR
T392,スーパーコンピュータ富岳,スーパーコンピュータフガク,tool,OS・ハードウェア,SR
T393,TRON,トロン,tech,OS・ハードウェア,SR
T394,トランジスタ,トランジスタ,tech,OS・ハードウェア,R
T395,ムーアの法則,ムーアノホウソク,term,OS・ハードウェア,R
T396,メインフレーム,メインフレーム,term,OS・ハードウェア,R
T397,リアルタイムOS,リアルタイムオーエス,tech,OS・ハードウェア,R
T398,Raspberry Pi,ラズベリーパイ,tool,OS・ハードウェア,N
T399,組込みシステム,クミコミシステム,term,OS・ハードウェア,N
T400,パイプ,パイプ,tech,OS・ハードウェア,N
T401,環境変数,カンキョウヘンスウ,term,OS・ハードウェア,N
T402,ChromeOS,クロームオーエス,tool,OS・ハードウェア,N
T403,電力効率,デンリョクコウリツ,term,OS・ハードウェア,N
T404,Microsoft Azure,マイクロソフトアジュール,tool,クラウド・インフラ,SSR
T405,Google Cloud,グーグルクラウド,tool,クラウド・インフラ,SR
T406,Cloudflare,クラウドフレア,tool,クラウド・インフラ,SR
T407,ブルーグリーンデプロイ,ブルーグリーンデプロイ,tech,クラウド・インフラ,R
T408,カナリアリリース,カナリアリリース,tech,クラウド・インフラ,R
T409,サービスメッシュ,サービスメッシュ,tech,クラウド・インフラ,R
T410,可用性,カヨウセイ,term,クラウド・インフラ,R
T411,Heroku,ヘロク,tool,クラウド・インフラ,N
T412,Vercel,バーセル,tool,クラウド・インフラ,N
T413,コールドスタート,コールドスタート,term,クラウド・インフラ,N
T414,コンテナレジストリ,コンテナレジストリ,tech,クラウド・インフラ,N
T415,レイテンシ,レイテンシ,term,クラウド・インフラ,N
T416,スループット,スループット,term,クラウド・インフラ,N
T417,ChatGPT,チャットジーピーティー,tool,AI・データサイエンス,SSR
T418,拡散モデル,カクサンモデル,tech,AI・データサイエンス,SR
T419,敵対的生成ネットワーク,テキタイテキセイセイネットワーク,tech,AI・データサイエンス,SR
T420,RAG,ラグ,tech,AI・データサイエンス,R
T421,ファインチューニング,ファインチューニング,tech,AI・データサイエンス,R
T422,埋め込みベクトル,ウメコミベクトル,term,AI・データサイエンス,R
T423,チューリングテスト,チューリングテスト,term,AI・データサイエンス,R
T424,MLOps,エムエルオプス,tech,AI・データサイエンス,N
T425,エッジAI,エッジエーアイ,tech,AI・データサイエンス,N
T426,異常検知,イジョウケンチ,tech,AI・データサイエンス,N
T427,レコメンドエンジン,レコメンドエンジン,tech,AI・データサイエンス,N
T428,推論,スイロン,term,AI・データサイエンス,N
T429,シンギュラリティ,シンギュラリティ,term,AI・データサイエンス,N
T430,Visual Studio Code,ビジュアルスタジオコード,tool,開発プロセス・ツール,SSR
T431,Vim,ヴィム,tool,開発プロセス・ツール,SR
T432,npm,エヌピーエム,tool,開発プロセス・ツール,SR
T433,Emacs,イーマックス,tool,開発プロセス・ツール,R
T434,シェルスクリプト,シェルスクリプト,lang,開発プロセス・ツール,R
T435,Makefile,メイクファイル,tool,開発プロセス・ツール,R
T436,デザインパターン,デザインパターン,term,開発プロセス・ツール,R
T437,ターミナル,ターミナル,tool,開発プロセス・ツール,N
T438,ログ,ログ,term,開発プロセス・ツール,N
T439,ラバーダック・デバッグ,ラバーダックデバッグ,tech,開発プロセス・ツール,N
T440,車輪の再発明,シャリンノサイハツメイ,term,開発プロセス・ツール,N
T441,ドッグフーディング,ドッグフーディング,tech,開発プロセス・ツール,N
T442,ハッカソン,ハッカソン,term,開発プロセス・ツール,N
