id,name,reading,type,prefecture,rarity
C037,行方市,なめがたし,city,茨城県,SR
C038,大洗町,おおあらいまち,city,茨城県,R
C039,宇都宮市,うつのみやし,city,栃木県,R
C040,日光市,にっこうし,city,栃木県,SSR
C041,那須塩原市,なすしおばらし,city,栃木県,R
C042,足利市,あしかがし,city,栃木県,N
C043,前橋市,まえばしし,city,群馬県,R
C044,高崎市,たかさきし,city,群馬県,R
C045,草津町,くさつまち,city,群馬県,SSR
C046,みなかみ町,みなかみまち,city,群馬県,R
C047,さいたま市,さいたまし,city,埼玉県,SR
C048,川越市,かわごえし,city,埼玉県,SR
C049,秩父市,ちちぶし,city,埼玉県,R
C050,春日部市,かすかべし,city,埼玉県,N
C051,千葉市,ちばし,city,千葉県,R
C052,成田市,なりたし,city,千葉県,SR
C053,銚子市,ちょうしし,city,千葉県,R
C054,浦安市,うらやすし,city,千葉県,SR
C055,匝瑳市,そうさし,city,千葉県,SSR
C056,館山市,たてやまし,city,千葉県,N
C057,新宿区,しんじゅくく,city,東京都,SSR
C058,渋谷区,しぶやく,city,東京都,SSR
C059,港区,みなとく,city,東京都,SR
C060,千代田区,ちよだく,city,東京都,SSR
C061,台東区,たいとうく,city,東京都,SR
C062,豊島区,としまく,city,東京都,R
C063,品川区,しながわく,city,東京都,R
C064,中央区,ちゅうおうく,city,東京都,SR
C065,世田谷区,せたがやく,city,東京都,R
C066,足立区,あだちく,city,東京都,N
C067,練馬区,ねりまく,city,東京都,N
C068,八王子市,はちおうじし,city,東京都,N
C069,奥多摩町,おくたままち,city,東京都,R
C070,青ヶ島村,あおがしまむら,city,東京都,SSR
C071,横浜市,よこはまし,city,神奈川県,SSR
C072,川崎市,かわさきし,city,神奈川県,R
C073,鎌倉市,かまくらし,city,神奈川県,SSR
C074,箱根町,はこねまち,city,神奈川県,SSR
C075,小田原市,おだわらし,city,神奈川県,R
C076,横須賀市,よこすかし,city,神奈川県,R
C077,湯河原町,ゆがわらまち,city,神奈川県,N
C078,新潟市,にいがたし,city,新潟県,R
C079,佐渡市,さどし,city,新潟県,SR
C080,湯沢町,ゆざわまち,city,新潟県,R
C081,長岡市,ながおかし,city,新潟県,R
C082,富山市,とやまし,city,富山県,R
C083,高岡市,たかおかし,city,富山県,N
C084,立山町,たてやままち,city,富山県,SR
C085,氷見市,ひみし,city,富山県,R
C086,金沢市,かなざわし,city,石川県,SSR
C087,輪島市,わじまし,city,石川県,R
C088,加賀市,かがし,city,石川県,R
C089,七尾市,ななおし,city,石川県,N
C090,福井市,ふくいし,city,福井県,R
C091,敦賀市,つるがし,city,福井県,N
C092,鯖江市,さばえし,city,福井県,SR
C093,勝山市,かつやまし,city,福井県,R
C094,甲府市,こうふし,city,山梨県,R
C095,富士吉田市,ふじよしだし,city,山梨県,SR
C096,富士河口湖町,ふじかわぐちこまち,city,山梨県,R
C097,長野市,ながのし,city,長野県,R
C098,松本市,まつもとし,city,長野県,SR
C099,軽井沢町,かるいざわまち,city,長野県,SSR
C100,諏訪市,すわし,city,長野県,R
C101,白馬村,はくばむら,city,長野県,R
C102,山ノ内町,やまのうちまち,city,長野県,R
C103,岐阜市,ぎふし,city,岐阜県,R
C104,高山市,たかやまし,city,岐阜県,SR
C105,白川村,しらかわむら,city,岐阜県,SSR
C106,下呂市,げろし,city,岐阜県,SR
C107,各務原市,かかみがはらし,city,岐阜県,SR
C108,静岡市,しずおかし,city,静岡県,R
C109,浜松市,はままつし,city,静岡県,R
C110,熱海市,あたみし,city,静岡県,SSR
C111,伊東市,いとうし,city,静岡県,R
C112,富士宮市,ふじのみやし,city,静岡県,R
C113,下田市,しもだし,city,静岡県,N
C114,名古屋市,なごやし,city,愛知県,SSR
C115,豊田市,とよたし,city,愛知県,SR
C116,犬山市,いぬやまし,city,愛知県,R
C117,蒲郡市,がまごおりし,city,愛知県,N
C118,常滑市,とこなめし,city,愛知県,N
C119,津市,つし,city,三重県,SR
C120,伊勢市,いせし,city,三重県,SSR
C121,鳥羽市,とばし,city,三重県,R
C122,志摩市,しまし,city,三重県,R
C123,松阪市,まつさかし,city,三重県,R
C124,大津市,おおつし,city,滋賀県,R
C125,彦根市,ひこねし,city,滋賀県,SR
C126,長浜市,ながはまし,city,滋賀県,N
C127,近江八幡市,おうみはちまんし,city,滋賀県,R
C128,京都市,きょうとし,city,京都府,SSR
C129,宇治市,うじし,city,京都府,SR
C130,舞鶴市,まいづるし,city,京都府,N
C131,宮津市,みやづし,city,京都府,SR
C132,大阪市,おおさかし,city,大阪府,SSR
C133,堺市,さかいし,city,大阪府,R
C134,東大阪市,ひがしおおさかし,city,大阪府,R
C135,泉佐野市,いずみさのし,city,大阪府,N
C136,枚方市,ひらかたし,city,大阪府,SR
C137,神戸市,こうべし,city,兵庫県,SSR
C138,姫路市,ひめじし,city,兵庫県,SSR
C139,宝塚市,たからづかし,city,兵庫県,R
C140,淡路市,あわじし,city,兵庫県,R
C141,豊岡市,とよおかし,city,兵庫県,SR
C142,尼崎市,あまがさきし,city,兵庫県,N
C143,奈良市,ならし,city,奈良県,SSR
C144,明日香村,あすかむら,city,奈良県,SR
C145,橿原市,かしはらし,city,奈良県,R
C146,吉野町,よしのちょう,city,奈良県,R
C147,和歌山市,わかやまし,city,和歌山県,R
C148,高野町,こうやちょう,city,和歌山県,SSR
C149,那智勝浦町,なちかつうらちょう,city,和歌山県,SR
C150,白浜町,しらはまちょう,city,和歌山県,SR
C151,鳥取市,とっとりし,city,鳥取県,SR
C152,米子市,よなごし,city,鳥取県,N
C153,境港市,さかいみなとし,city,鳥取県,SR
C154,松江市,まつえし,city,島根県,SR
C155,出雲市,いずもし,city,島根県,SSR
C156,津和野町,つわのちょう,city,島根県,R
C157,隠岐の島町,おきのしまちょう,city,島根県,SR
C158,岡山市,おかやまし,city,岡山県,R
C159,倉敷市,くらしきし,city,岡山県,SR
C160,高梁市,たかはしし,city,岡山県,SR
C161,広島市,ひろしまし,city,広島県,SSR
C162,廿日市市,はつかいちし,city,広島県,SSR
C163,尾道市,おのみちし,city,広島県,SR
C164,呉市,くれし,city,広島県,R
C165,山口市,やまぐちし,city,山口県,R
C166,下関市,しものせきし,city,山口県,SR
C167,萩市,はぎし,city,山口県,SR
C168,岩国市,いわくにし,city,山口県,R
C169,徳島市,とくしまし,city,徳島県,R
C170,鳴門市,なるとし,city,徳島県,SR
C171,三好市,みよしし,city,徳島県,R
C172,上勝町,かみかつちょう,city,徳島県,R
C173,高松市,たかまつし,city,香川県,R
C174,丸亀市,まるがめし,city,香川県,N
C175,小豆島町,しょうどしまちょう,city,香川県,SR
C176,琴平町,ことひらちょう,city,香川県,R
C177,直島町,なおしまちょう,city,香川県,SR
C178,松山市,まつやまし,city,愛媛県,SSR
C179,今治市,いまばりし,city,愛媛県,SR
C180,宇和島市,うわじまし,city,愛媛県,N
C181,高知市,こうちし,city,高知県,SR
C182,四万十市,しまんとし,city,高知県,SR
C183,室戸市,むろとし,city,高知県,R
C184,馬路村,うまじむら,city,高知県,R
C185,宿毛市,すくもし,city,高知県,SR
C186,福岡市,ふくおかし,city,福岡県,SSR
C187,北九州市,きたきゅうしゅうし,city,福岡県,R
C188,太宰府市,だざいふし,city,福岡県,SR
C189,柳川市,やながわし,city,福岡県,R
C190,糸島市,いとしまし,city,福岡県,R
C191,佐賀市,さがし,city,佐賀県,R
C192,唐津市,からつし,city,佐賀県,R
C193,有田町,ありたちょう,city,佐賀県,SR
C194,嬉野市,うれしのし,city,佐賀県,SR
C195,長崎市,ながさきし,city,長崎県,SSR
C196,佐世保市,させぼし,city,長崎県,R
C197,雲仙市,うんぜんし,city,長崎県,R
C198,対馬市,つしまし,city,長崎県,SR
C199,五島市,ごとうし,city,長崎県,SR
C200,熊本市,くまもとし,city,熊本県,SSR
C201,阿蘇市,あそし,city,熊本県,SSR
C202,天草市,あまくさし,city,熊本県,R
C203,人吉市,ひとよしし,city,熊本県,R
C204,山鹿市,やまがし,city,熊本県,N
C205,大分市,おおいたし,city,大分県,R
C206,別府市,べっぷし,city,大分県,SSR
C207,由布市,ゆふし,city,大分県,SSR
C208,日田市,ひたし,city,大分県,R
C209,中津市,なかつし,city,大分県,N
C210,宮崎市,みやざきし,city,宮崎県,R
C211,高千穂町,たかちほちょう,city,宮崎県,SSR
C212,日南市,にちなんし,city,宮崎県,R
C213,えびの市,えびのし,city,宮崎県,SR
C214,都城市,みやこのじょうし,city,宮崎県,R
C215,鹿児島市,かごしまし,city,鹿児島県,SSR
C216,指宿市,いぶすきし,city,鹿児島県,SR
C217,屋久島町,やくしまちょう,city,鹿児島県,SSR
C218,奄美市,あまみし,city,鹿児島県,SR
C219,霧島市,きりしまし,city,鹿児島県,R
C220,枕崎市,まくらざきし,city,鹿児島県,N
C221,那覇市,なはし,city,沖縄県,SSR
C222,石垣市,いしがきし,city,沖縄県,SR
C223,宮古島市,みやこじまし,city,沖縄県,SR
C224,うるま市,うるまし,city,沖縄県,SR
C225,南風原町,はえばるちょう,city,沖縄県,SSR
C226,恩納村,おんなそん,city,沖縄県,R
C227,竹富町,たけとみちょう,city,沖縄県,SR
S01,富士山,ふじさん,spot,山梨県,UR
S02,金閣寺,きんかくじ,spot,京都府,SSR
S03,清水寺,きよみずでら,spot,京都府,SSR
S04,伏見稲荷大社,ふしみいなりたいしゃ,spot,京都府,SSR
S05,東大寺,とうだいじ,spot,奈良県,SSR
S06,厳島神社,いつくしまじんじゃ,spot,広島県,SSR
S07,姫路城,ひめじじょう,spot,兵庫県,SSR
S08,大阪城,おおさかじょう,spot,大阪府,SR
S09,道頓堀,どうとんぼり,spot,大阪府,SR
S10,東京タワー,とうきょうたわー,spot,東京都,SR
S11,東京スカイツリー,とうきょうすかいつりー,spot,東京都,SSR
S12,浅草寺,せんそうじ,spot,東京都,SSR
S13,渋谷スクランブル交差点,しぶやすくらんぶるこうさてん,spot,東京都,SR
S14,伊勢神宮,いせじんぐう,spot,三重県,SSR
S15,出雲大社,いずもたいしゃ,spot,島根県,SSR
S16,日光東照宮,にっこうとうしょうぐう,spot,栃木県,SSR
S17,白川郷,しらかわごう,spot,岐阜県,SSR
S18,兼六園,けんろくえん,spot,石川県,SR
S19,通天閣,つうてんかく,spot,大阪府,SR
S20,札幌市時計台,さっぽろしとけいだい,spot,北海道,SR
S21,首里城,しゅりじょう,spot,沖縄県,SSR
S22,桜島,さくらじま,spot,鹿児島県,SSR
S23,富岡製糸場,とみおかせいしじょう,spot,群馬県,SR
S24,軍艦島,ぐんかんじま,spot,長崎県,SR
S25,鳥取砂丘,とっとりさきゅう,spot,鳥取県,SSR
S26,琵琶湖,びわこ,spot,滋賀県,SSR
S27,名古屋城,なごやじょう,spot,愛知県,SR
C228,室蘭市,むろらんし,city,北海道,SR
C229,釧路市,くしろし,city,北海道,R
C230,帯広市,おびひろし,city,北海道,SR
C231,北見市,きたみし,city,北海道,SR
C232,岩見沢市,いわみざわし,city,北海道,R
C233,網走市,あばしりし,city,北海道,R
C234,留萌市,るもいし,city,北海道,R
C235,苫小牧市,とまこまいし,city,北海道,SR
C236,稚内市,わっかないし,city,北海道,SR
C237,美唄市,びばいし,city,北海道,R
C238,芦別市,あしべつし,city,北海道,R
C239,江別市,えべつし,city,北海道,N
C240,赤平市,あかびらし,city,北海道,N
C241,紋別市,もんべつし,city,北海道,R
C242,士別市,しべつし,city,北海道,N
C243,名寄市,なよろし,city,北海道,R
C244,三笠市,みかさし,city,北海道,N
C245,根室市,ねむろし,city,北海道,R
C246,千歳市,ちとせし,city,北海道,N
C247,滝川市,たきかわし,city,北海道,R
C248,砂川市,すながわし,city,北海道,N
C249,歌志内市,うたしないし,city,北海道,R
C250,深川市,ふかがわし,city,北海道,N
C251,恵庭市,えにわし,city,北海道,N
C252,伊達市,だてし,city,北海道,R
C253,北広島市,きたひろしまし,city,北海道,SR
C254,石狩市,いしかりし,city,北海道,R
C255,北斗市,ほくとし,city,北海道,R
C256,当別町,とうべつちょう,city,北海道,N
C257,新篠津村,しんしのつむら,city,北海道,N
C258,松前町,まつまえちょう,city,北海道,N
C259,福島町,ふくしまちょう,city,北海道,R
C260,知内町,しりうちちょう,city,北海道,N
C261,木古内町,きこないちょう,city,北海道,N
C262,七飯町,ななえちょう,city,北海道,N
C263,鹿部町,しかべちょう,city,北海道,N
C264,森町,もりまち,city,北海道,N
C265,八雲町,やくもちょう,city,北海道,N
C266,江差町,えさしちょう,city,北海道,N
C267,上ノ国町,かみのくにちょう,city,北海道,N
C268,厚沢部町,あっさぶちょう,city,北海道,N
C269,乙部町,おとべちょう,city,北海道,N
C270,奥尻町,おくしりちょう,city,北海道,N
C271,今金町,いまかねちょう,city,北海道,N
C272,せたな町,せたなちょう,city,北海道,N
C273,島牧村,しままきむら,city,北海道,N
C274,寿都町,すっつちょう,city,北海道,N
C275,黒松内町,くろまつないちょう,city,北海道,N
C276,蘭越町,らんこしちょう,city,北海道,N
C277,ニセコ町,にせこちょう,city,北海道,R
C278,真狩村,まっかりむら,city,北海道,N
C279,留寿都村,るすつむら,city,北海道,N
C280,喜茂別町,きもべつちょう,city,北海道,N
C281,京極町,きょうごくちょう,city,北海道,N
C282,共和町,きょうわちょう,city,北海道,N
C283,岩内町,いわないちょう,city,北海道,R
C284,泊村,とまりむら,city,北海道,N
C285,神恵内村,かもえないむら,city,北海道,N
C286,積丹町,しゃこたんちょう,city,北海道,N
C287,古平町,ふるびらちょう,city,北海道,N
C288,仁木町,にきちょう,city,北海道,N
C289,余市町,よいちちょう,city,北海道,N
C290,赤井川村,あかいがわむら,city,北海道,N
C291,南幌町,なんぽろちょう,city,北海道,N
C292,奈井江町,ないえちょう,city,北海道,N
C293,上砂川町,かみすながわちょう,city,北海道,N
C294,由仁町,ゆにちょう,city,北海道,N
C295,長沼町,ながぬまちょう,city,北海道,N
C296,栗山町,くりやまちょう,city,北海道,N
C297,月形町,つきがたちょう,city,北海道,N
C298,浦臼町,うらうすちょう,city,北海道,N
C299,新十津川町,しんとつかわちょう,city,北海道,N
C300,妹背牛町,もせうしちょう,city,北海道,N
C301,秩父別町,ちっぷべつちょう,city,北海道,N
C302,雨竜町,うりゅうちょう,city,北海道,N
C303,北竜町,ほくりゅうちょう,city,北海道,N
C304,沼田町,ぬまたちょう,city,北海道,N
C305,鷹栖町,たかすちょう,city,北海道,N
C306,東神楽町,ひがしかぐらちょう,city,北海道,N
C307,当麻町,とうまちょう,city,北海道,N
C308,比布町,ぴっぷちょう,city,北海道,N
C309,愛別町,あいべつちょう,city,北海道,N
C310,上川町,かみかわちょう,city,北海道,N
C311,東川町,ひがしかわちょう,city,北海道,N
C312,美瑛町,びえいちょう,city,北海道,N
C313,上富良野町,かみふらのちょう,city,北海道,N
C314,中富良野町,なかふらのちょう,city,北海道,N
C315,南富良野町,みなみふらのちょう,city,北海道,N
C316,占冠村,しむかっぷむら,city,北海道,R
C317,和寒町,わっさむちょう,city,北海道,N
C318,剣淵町,けんぶちちょう,city,北海道,N
C319,下川町,しもかわちょう,city,北海道,N
C320,美深町,びふかちょう,city,北海道,N
C321,中川町,なかがわちょう,city,北海道,N
C322,幌加内町,ほろかないちょう,city,北海道,N
C323,増毛町,ましけちょう,city,北海道,N
C324,小平町,おびらちょう,city,北海道,N
C325,苫前町,とままえちょう,city,北海道,N
C326,羽幌町,はぼろちょう,city,北海道,N
C327,初山別村,しょさんべつむら,city,北海道,N
C328,遠別町,えんべつちょう,city,北海道,N
C329,天塩町,てしおちょう,city,北海道,N
C330,猿払村,さるふつむら,city,北海道,R
C331,浜頓別町,はまとんべつちょう,city,北海道,N
C332,中頓別町,なかとんべつちょう,city,北海道,N
C333,枝幸町,えさしちょう,city,北海道,N
C334,豊富町,とよとみちょう,city,北海道,N
C335,礼文町,れぶんちょう,city,北海道,N
C336,利尻町,りしりちょう,city,北海道,N
C337,利尻富士町,りしりふじちょう,city,北海道,N
C338,幌延町,ほろのべちょう,city,北海道,N
C339,美幌町,びほろちょう,city,北海道,N
C340,津別町,つべつちょう,city,北海道,N
C341,斜里町,しゃりちょう,city,北海道,N
C342,清里町,きよさとちょう,city,北海道,N
C343,小清水町,こしみずちょう,city,北海道,N
C344,訓子府町,くんねっぷちょう,city,北海道,N
C345,置戸町,おけとちょう,city,北海道,N
C346,佐呂間町,さろまちょう,city,北海道,N
C347,遠軽町,えんがるちょう,city,北海道,R
C348,湧別町,ゆうべつちょう,city,北海道,N
C349,滝上町,たきのうえちょう,city,北海道,N
C350,興部町,おこっぺちょう,city,北海道,N
C351,西興部村,にしおこっぺむら,city,北海道,N
C352,雄武町,おうむちょう,city,北海道,N
C353,大空町,おおぞらちょう,city,北海道,N
C354,豊浦町,とようらちょう,city,北海道,N
C355,壮瞥町,そうべつちょう,city,北海道,N
C356,白老町,しらおいちょう,city,北海道,N
C357,厚真町,あつまちょう,city,北海道,N
C358,洞爺湖町,とうやこちょう,city,北海道,N
C359,安平町,あびらちょう,city,北海道,N
C360,むかわ町,むかわちょう,city,北海道,N
C361,日高町,ひだかちょう,city,北海道,R
C362,平取町,びらとりちょう,city,北海道,N
C363,新冠町,にいかっぷちょう,city,北海道,N
C364,浦河町,うらかわちょう,city,北海道,N
C365,様似町,さまにちょう,city,北海道,N
C366,えりも町,えりもちょう,city,北海道,N
C367,新ひだか町,しんひだかちょう,city,北海道,N
C368,音更町,おとふけちょう,city,北海道,R
C369,士幌町,しほろちょう,city,北海道,N
C370,上士幌町,かみしほろちょう,city,北海道,N
C371,鹿追町,しかおいちょう,city,北海道,N
C372,新得町,しんとくちょう,city,北海道,N
C373,清水町,しみずちょう,city,北海道,N
C374,芽室町,めむろちょう,city,北海道,N
C375,中札内村,なかさつないむら,city,北海道,N
C376,更別村,さらべつむら,city,北海道,N
C377,大樹町,たいきちょう,city,北海道,N
C378,広尾町,ひろおちょう,city,北海道,N
C379,幕別町,まくべつちょう,city,北海道,N
C380,池田町,いけだちょう,city,北海道,N
C381,豊頃町,とよころちょう,city,北海道,N
C382,本別町,ほんべつちょう,city,北海道,N
C383,足寄町,あしょろちょう,city,北海道,R
C384,陸別町,りくべつちょう,city,北海道,N
C385,浦幌町,うらほろちょう,city,北海道,N
C386,釧路町,くしろちょう,city,北海道,N
C387,厚岸町,あっけしちょう,city,北海道,N
C388,浜中町,はまなかちょう,city,北海道,N
C389,標茶町,しべちゃちょう,city,北海道,N
C390,弟子屈町,てしかがちょう,city,北海道,N
C391,鶴居村,つるいむら,city,北海道,N
C392,白糠町,しらぬかちょう,city,北海道,N
C393,別海町,べつかいちょう,city,北海道,R
C394,中標津町,なかしべつちょう,city,北海道,R
C395,標津町,しべつちょう,city,北海道,N
C396,羅臼町,らうすちょう,city,北海道,N
C397,黒石市,くろいしし,city,青森県,N
C398,五所川原市,ごしょがわらし,city,青森県,R
C399,十和田市,とわだし,city,青森県,R
C400,三沢市,みさわし,city,青森県,N
C401,つがる市,つがるし,city,青森県,N
C402,平川市,ひらかわし,city,青森県,N
C403,平内町,ひらないまち,city,青森県,N
C404,今別町,いまべつまち,city,青森県,N
C405,蓬田村,よもぎたむら,city,青森県,N
C406,外ヶ浜町,そとがはままち,city,青森県,N
C407,鰺ヶ沢町,あじがさわまち,city,青森県,N
C408,深浦町,ふかうらまち,city,青森県,N
C409,西目屋村,にしめやむら,city,青森県,N
C410,藤崎町,ふじさきまち,city,青森県,N
C411,大鰐町,おおわにまち,city,青森県,N
C412,田舎館村,いなかだてむら,city,青森県,N
C413,板柳町,いたやなぎまち,city,青森県,N
C414,鶴田町,つるたまち,city,青森県,N
C415,中泊町,なかどまりまち,city,青森県,N
C416,野辺地町,のへじまち,city,青森県,N
C417,七戸町,しちのへまち,city,青森県,N
C418,六戸町,ろくのへまち,city,青森県,N
C419,横浜町,よこはままち,city,青森県,N
C420,東北町,とうほくまち,city,青森県,N
C421,六ヶ所村,ろっかしょむら,city,青森県,N
C422,おいらせ町,おいらせちょう,city,青森県,N
C423,大間町,おおままち,city,青森県,R
C424,東通村,ひがしどおりむら,city,青森県,N
C425,風間浦村,かざまうらむら,city,青森県,N
C426,佐井村,さいむら,city,青森県,N
C427,三戸町,さんのへまち,city,青森県,N
C428,五戸町,ごのへまち,city,青森県,N
C429,田子町,たっこまち,city,青森県,N
C430,南部町,なんぶちょう,city,青森県,N
C431,階上町,はしかみちょう,city,青森県,N
C432,新郷村,しんごうむら,city,青森県,N
C433,大船渡市,おおふなとし,city,岩手県,SR
C434,花巻市,はなまきし,city,岩手県,R
C435,北上市,きたかみし,city,岩手県,R
C436,久慈市,くじし,city,岩手県,N
C437,一関市,いちのせきし,city,岩手県,N
C438,陸前高田市,りくぜんたかたし,city,岩手県,N
C439,釜石市,かまいしし,city,岩手県,R
C440,二戸市,にのへし,city,岩手県,N
C441,八幡平市,はちまんたいし,city,岩手県,N
C442,奥州市,おうしゅうし,city,岩手県,SR
C443,滝沢市,たきざわし,city,岩手県,N
C444,雫石町,しずくいしちょう,city,岩手県,N
C445,葛巻町,くずまきまち,city,岩手県,N
C446,岩手町,いわてまち,city,岩手県,N
C447,紫波町,しわちょう,city,岩手県,N
C448,矢巾町,やはばちょう,city,岩手県,N
C449,西和賀町,にしわがまち,city,岩手県,N
C450,金ケ崎町,かねがさきちょう,city,岩手県,N
C451,住田町,すみたちょう,city,岩手県,N
C452,大槌町,おおつちちょう,city,岩手県,N
C453,山田町,やまだまち,city,岩手県,N
C454,岩泉町,いわいずみちょう,city,岩手県,N
C455,田野畑村,たのはたむら,city,岩手県,N
C456,普代村,ふだいむら,city,岩手県,N
C457,軽米町,かるまいまち,city,岩手県,N
C458,野田村,のだむら,city,岩手県,N
C459,九戸村,くのへむら,city,岩手県,N
C460,洋野町,ひろのちょう,city,岩手県,N
C461,一戸町,いちのへまち,city,岩手県,N
C462,塩竈市,しおがまし,city,宮城県,R
C463,白石市,しろいしし,city,宮城県,N
C464,名取市,なとりし,city,宮城県,N
C465,角田市,かくだし,city,宮城県,N
C466,多賀城市,たがじょうし,city,宮城県,R
C467,岩沼市,いわぬまし,city,宮城県,N
C468,登米市,とめし,city,宮城県,R
C469,栗原市,くりはらし,city,宮城県,R
C470,東松島市,ひがしまつしまし,city,宮城県,N
C471,大崎市,おおさきし,city,宮城県,R
C472,富谷市,とみやし,city,宮城県,R
C473,蔵王町,ざおうまち,city,宮城県,N
C474,七ヶ宿町,しちかしゅくまち,city,宮城県,N
C475,大河原町,おおがわらまち,city,宮城県,N
C476,村田町,むらたまち,city,宮城県,N
C477,柴田町,しばたまち,city,宮城県,N
C478,川崎町,かわさきまち,city,宮城県,N
C479,丸森町,まるもりまち,city,宮城県,N
C480,亘理町,わたりちょう,city,宮城県,N
C481,山元町,やまもとちょう,city,宮城県,N
C482,七ヶ浜町,しちがはままち,city,宮城県,N
C483,利府町,りふちょう,city,宮城県,N
C484,大和町,たいわちょう,city,宮城県,N
C485,大郷町,おおさとちょう,city,宮城県,N
C486,大衡村,おおひらむら,city,宮城県,N
C487,色麻町,しかまちょう,city,宮城県,N
C488,加美町,かみまち,city,宮城県,N
C489,涌谷町,わくやちょう,city,宮城県,N
C490,美里町,みさとまち,city,宮城県,N
C491,女川町,おながわちょう,city,宮城県,N
C492,南三陸町,みなみさんりくちょう,city,宮城県,N
C493,能代市,のしろし,city,秋田県,R
C494,横手市,よこてし,city,秋田県,R
C495,大館市,おおだてし,city,秋田県,N
C496,鹿角市,かづのし,city,秋田県,N
C497,由利本荘市,ゆりほんじょうし,city,秋田県,N
C498,潟上市,かたがみし,city,秋田県,N
C499,大仙市,だいせんし,city,秋田県,R
C500,北秋田市,きたあきたし,city,秋田県,R
C501,にかほ市,にかほし,city,秋田県,R
